id_estudiante;estado_inscripcion;ingreso_aprobadas;ingreso_libres;ingreso_totales;cursadas_aprobadas;cursadas_regulares;cursadas_libres;cursadas_totales;inscripciones_examenes;examenes_aprobados;err_formato_matricula;regla_estado_inscripcion
CB-015884-1;Pendiente;1;1;2;0;0;0;3;0;0;True;ok
CB-015930-8;Pendiente;0;2;2;0;0;0;3;0;0;True;ok
CB-015952-9;Pendiente;2;0;2;0;0;0;3;0;0;True;ok
CC-015952-8;Pendiente;1;1;2;0;0;0;3;0;0;True;ok
CB-016040-3;Pendiente;0;2;2;0;0;0;3;0;0;True;ok
CB-016424-7;Pendiente;1;1;2;0;0;0;3;0;0;True;ok
CB-016073-0;Pendiente;1;1;2;0;0;0;3;0;0;True;ok
CB-016411-5;Aceptado;1;1;2;0;0;3;3;0;0;True;
CB-015958-8;Pendiente;1;1;2;0;0;0;3;0;0;True;ok
CB-015943-0;Pendiente;1;1;2;0;0;0;3;0;0;True;ok
CB-015921-9;Pendiente;1;1;2;0;0;0;3;0;0;True;ok
CB-015032-7;Aceptado;2;0;2;0;0;3;3;0;0;True;
CB-016009-8;Aceptado;1;1;2;2;1;0;3;0;0;True;
CB-016125-6;Pendiente;2;0;2;0;0;0;3;0;0;True;ok
CB-015806-9;Aceptado;1;1;2;0;0;3;3;1;0;True;
CB-016445-0;Aceptado;1;1;2;1;1;1;3;1;1;True;
CB-015988-0;Pendiente;2;0;2;0;0;0;3;0;0;True;ok
CB-016800-5;Aceptado;1;1;2;2;0;1;3;0;0;True;
CB-016417-4;Pendiente;1;1;2;0;0;0;3;0;0;True;ok
CB-016083-7;Pendiente;0;2;2;0;0;0;3;0;0;True;ok
CB-016055-1;Pendiente;1;1;2;0;0;0;3;0;0;True;ok
CB-015813-1;Pendiente;2;0;2;0;0;0;3;0;0;True;ok
CB-016038-1;Pendiente;1;1;2;0;0;0;3;0;0;True;ok
CB-015798-4;Aceptado;1;1;2;1;0;2;3;0;0;True;
CB-016495-6;Pendiente;1;1;2;0;0;0;3;0;0;True;ok
CB-015954-5;Pendiente;1;1;2;0;0;0;3;0;0;True;ok
CB-016016-1;Pendiente;1;1;2;0;0;0;3;0;0;True;ok
CB-016779-3;Aceptado;1;1;2;1;0;2;3;0;0;True;
CB-015978-2;Pendiente;2;0;2;0;0;0;3;0;0;True;ok
CB-016033-1;Pendiente;1;1;2;0;0;0;3;0;0;True;ok
CB-016511-1;Aceptado;2;0;2;0;0;3;3;0;0;True;
CB-017500-1;Aceptado;1;1;2;1;1;1;3;0;0;True;
CB-015897-2;Pendiente;2;0;2;0;0;0;3;0;0;True;ok
CB-015828-0;Pendiente;2;0;2;0;0;0;3;0;0;True;ok
CB-016454-9;Aceptado;1;1;2;0;0;3;3;0;0;True;
CB-015789-5;Aceptado;0;2;2;0;2;1;3;0;0;True;
CB-016121-3;Pendiente;2;0;2;0;0;0;3;0;0;True;ok
CB-016019-5;Pendiente;1;1;2;0;0;0;3;0;0;True;ok
CB-015815-8;Aceptado;1;1;2;0;0;3;3;0;0;True;
CB-015938-3;Pendiente;0;2;2;0;0;0;3;0;0;True;ok
CB-015887-5;Pendiente;0;2;2;0;0;0;3;0;0;True;ok
CB-016041-1;Aceptado;0;2;2;0;1;2;3;0;0;True;
CB-015841-7;Pendiente;1;1;2;0;0;0;3;0;0;True;ok
CB-015856-5;Aceptado;1;1;2;0;0;3;3;0;0;True;
CB-016017-9;Pendiente;1;1;2;0;0;0;3;0;0;True;ok
CB-015870-1;Aceptado;1;1;2;0;2;1;3;0;0;True;
CB-016453-1;Aceptado;0;2;2;2;0;1;3;0;0;True;
CB-016058-6;Pendiente;2;0;2;0;0;0;3;0;0;True;ok
CB-016790-4;Pendiente;0;2;2;0;0;0;3;1;1;True;err
CB-016497-2;Aceptado;1;1;2;0;1;2;3;0;0;True;
CB-015934-1;Aceptado;1;1;2;0;1;2;3;0;0;True;
CB-016510-3;Pendiente;1;1;2;0;0;0;3;0;0;True;ok
CB-016460-3;Aceptado;0;2;2;0;1;2;3;1;0;True;
CB-015994-4;Pendiente;1;1;2;0;0;0;3;0;0;True;ok
CB-015834-4;Pendiente;1;1;2;0;0;0;3;0;0;True;ok
CB-015973-1;Pendiente;2;0;2;0;0;0;3;0;0;True;ok
CB-015819-1;Pendiente;2;0;2;0;0;0;3;0;0;True;ok
CB-016786-6;Aceptado;0;2;2;0;1;2;3;0;0;True;
CB-016747-5;Pendiente;2;0;2;0;0;0;3;0;0;True;ok
CB-015319-9;Aceptado;1;1;2;3;0;0;3;0;0;True;
CB-015987-1;Pendiente;2;0;2;0;0;0;3;0;0;True;ok
CB-015927-8;Pendiente;1;1;2;0;0;0;3;0;0;True;ok
CB-016491-3;Pendiente;1;1;2;0;0;0;3;0;0;True;ok
CB-016047-1;Aceptado;1;1;2;1;0;2;3;0;0;True;
CB-015989-8;Pendiente;2;0;2;0;0;0;3;0;0;True;ok
CB-016042-0;Pendiente;1;1;2;0;0;0;3;0;0;True;ok
CB-016066-7;Pendiente;1;1;2;0;0;0;3;0;0;True;ok
CB-015896-4;Pendiente;1;1;2;0;0;0;3;0;0;True;ok
CB-015872-7;Pendiente;0;2;2;0;0;0;3;0;0;True;ok
CB-016503-1;Aceptado;2;0;2;0;0;3;3;0;0;True;
CB-016111-6;Pendiente;2;0;2;0;0;0;3;0;0;True;ok
CB-016447-6;Pendiente;2;0;2;0;0;0;3;0;0;True;ok
CB-016080-2;Pendiente;0;2;2;0;0;0;3;0;0;True;ok
CB-016134-5;Aceptado;1;1;2;2;1;0;3;0;0;True;
CB-015941-3;Pendiente;0;2;2;0;0;0;3;0;0;True;ok
CB-016091-8;Pendiente;1;1;2;0;0;0;3;0;0;True;ok
CB-015827-1;Aceptado;2;0;2;0;0;3;3;0;0;True;
CB-015923-5;Aceptado;2;0;2;1;0;2;3;0;0;True;
CB-015034-3;Aceptado;1;1;2;0;1;2;3;0;0;True;
CB-015842-5;Pendiente;1;1;2;0;0;0;3;0;0;True;ok
CB-016137-0;Pendiente;1;1;2;0;0;0;3;0;0;True;ok
CB-016499-9;Aceptado;2;0;2;0;2;1;3;0;0;True;
CB-015961-8;Pendiente;1;1;2;0;0;0;3;0;0;True;ok
CB-017501-0;Pendiente;2;0;2;0;0;0;3;0;0;True;ok
CB-015781-0;Aceptado;1;1;2;1;0;2;3;0;0;True;
CB-015959-6;Pendiente;0;2;2;0;0;0;3;0;0;True;ok
CB-015818-2;Aceptado;2;0;2;2;1;0;3;0;0;True;
CB-016049-7;Pendiente;1;1;2;0;0;0;3;0;0;True;ok
CB-015909-0;Pendiente;1;1;2;0;0;0;3;0;0;True;ok
CB-016008-0;Pendiente;2;0;2;0;0;0;3;0;0;True;ok
CB-015803-4;Aceptado;0;2;2;0;2;1;3;0;0;True;
CB-016396-8;Pendiente;1;1;2;0;0;0;3;0;0;True;ok
CB-016477-8;Pendiente;1;1;2;0;0;0;3;0;0;True;ok
CB-015797-6;Aceptado;1;1;2;1;1;1;3;0;0;True;
CB-016435-2;Aceptado;2;0;2;0;0;3;3;0;0;True;
CB-016102-7;Pendiente;1;1;2;0;0;0;3;0;0;True;ok
CB-015046-7;Aceptado;0;2;2;0;0;3;3;0;0;True;
CB-015933-2;Aceptado;2;0;2;1;0;2;3;0;0;True;
CB-015867-1;Pendiente;2;0;2;0;0;0;3;0;0;True;ok
CB-016114-1;Aceptado;2;0;2;2;0;1;3;0;0;True;
CB-016028-4;Pendiente;2;0;2;0;0;0;3;0;0;True;ok
CB-015846-8;Pendiente;1;1;2;0;0;0;3;0;0;True;ok
CB-015889-1;Pendiente;1;1;2;0;0;0;3;0;0;True;ok
CB-015908-1;Pendiente;0;2;2;0;0;0;3;0;0;True;ok
CB-016082-9;Pendiente;1;1;2;0;0;0;3;0;0;True;ok
CB-016014-4;Pendiente;0;2;2;0;0;0;3;0;0;True;ok
CB-015780-1;Aceptado;1;1;2;0;0;3;3;0;0;True;
CB-016072-1;Pendiente;2;0;2;0;0;0;3;0;0;True;ok
CB-016116-7;Aceptado;0;2;2;2;0;1;3;0;0;True;
CB-015844-1;Pendiente;1;1;2;0;0;0;3;0;0;True;ok
CB-016025-0;Pendiente;2;0;2;0;0;0;3;0;0;True;ok
CB-016761-1;Pendiente;2;0;2;0;0;0;3;0;0;True;ok
CB-015977-4;Pendiente;1;1;2;0;0;0;3;0;0;True;ok
CB-016129-9;Pendiente;1;1;2;0;0;0;3;0;0;True;ok
CB-015905-7;Pendiente;1;1;2;0;0;0;3;0;0;True;ok
CB-016489-1;Aceptado;1;1;2;1;1;1;3;0;0;True;
CB-015881-6;Pendiente;1;1;2;0;0;0;3;0;0;True;ok
CB-016428-0;Aceptado;1;1;2;0;1;2;3;0;0;True;
CB-016413-1;Aceptado;2;0;2;0;0;3;3;0;0;True;
CB-015865-4;Aceptado;1;1;2;1;0;2;3;0;0;True;
CB-015864-6;Pendiente;1;1;2;0;0;0;3;0;0;True;ok
