propuesta;regular;segundo_anio;rango_promedios;examenes_1er_semestre;avance_ingreso;avance_1er_semestre;avance_carrera;calidad_rndf_desp
134;S;N;Alto;N;1.0;0.6666666666666666;75.0;A
134;S;N;Medio;N;1.0;0.0;75.0;A
134;N;N;Bajo;N;0.5;0.3333333333333333;0.0;P
134;S;N;Alto;N;0.5;0.0;0.05;A
134;N;N;Bajo;N;0.5;0.0;0.0;P
134;S;N;Alto;N;1.0;0.0;0.1;A
134;S;S;Alto;N;1.0;0.6666666666666666;125.0;A
134;S;S;Alto;N;0.5;0.3333333333333333;0.2;A
134;S;S;Alto;N;1.0;0.0;325.0;A
134;S;N;Alto;N;0.5;0.0;0.05;A
134;S;S;Alto;N;1.0;0.0;0.3;A
134;S;S;Alto;N;1.0;0.0;0.25;A
134;N;N;Bajo;N;1.0;0.0;0.0;P
134;N;N;Bajo;N;1.0;0.0;0.0;P
134;S;N;Medio;N;0.5;0.0;75.0;A
134;N;N;Alto;N;1.0;0.0;25.0;A
134;N;N;Bajo;N;0.0;0.6666666666666666;0.0;P
134;S;N;Alto;N;1.0;0.0;0.05;A
134;S;N;Alto;N;0.0;0.0;0.1;A
134;S;N;Alto;N;1.0;0.0;0.05;A
134;N;N;Alto;N;0.5;0.0;25.0;A
134;S;N;Alto;N;1.0;0.0;0.1;A
134;S;N;Alto;N;0.5;0.0;0.05;A
134;S;N;Alto;N;1.0;0.3333333333333333;0.05;A
134;S;N;Medio;N;0.0;0.0;0.1;A
134;S;N;Alto;N;0.5;0.0;75.0;A
134;S;S;Alto;N;0.0;0.0;0.3;A
134;S;N;Alto;N;0.0;0.0;0.05;A
134;N;N;Medio;N;0.0;1.0;25.0;A
134;N;N;Medio;N;0.5;0.0;25.0;A
134;S;S;Alto;N;0.5;0.0;175.0;A
134;S;N;Alto;N;1.0;0.0;0.05;A
134;S;S;Alto;N;0.5;1.0;425.0;A
134;S;N;Medio;N;1.0;0.0;0.05;A
134;S;N;Medio;N;1.0;0.0;0.05;A
134;N;N;Alto;N;1.0;0.6666666666666666;25.0;A
134;N;N;Bajo;N;1.0;0.0;0.0;P
134;S;S;Alto;N;0.5;0.6666666666666666;175.0;A
134;S;S;Medio;N;1.0;0.0;125.0;A
134;S;S;Medio;N;1.0;0.3333333333333333;0.7;A
134;N;N;Medio;N;1.0;0.6666666666666666;25.0;A
134;S;N;Medio;N;0.5;0.3333333333333333;75.0;A
134;S;N;Medio;N;1.0;0.0;0.05;A
134;N;N;Alto;N;0.5;0.0;25.0;A
134;N;N;Medio;N;1.0;0.0;25.0;A
134;N;N;Bajo;N;1.0;0.0;0.0;P
134;S;N;Alto;N;1.0;0.0;0.05;A
134;S;S;Alto;N;0.5;0.0;0.4;A
134;S;N;Medio;N;1.0;0.0;0.05;A
134;S;N;Medio;N;0.5;0.0;0.05;A
134;S;S;Alto;N;1.0;0.6666666666666666;0.4;A
134;N;N;Alto;N;0.5;0.0;25.0;A
134;N;N;Medio;N;0.5;0.0;25.0;A
134;S;N;Medio;N;1.0;0.0;0.05;A
134;S;S;Alto;N;0.5;0.0;0.4;A
134;S;S;Alto;N;1.0;0.3333333333333333;0.25;A
134;S;N;Medio;N;1.0;0.0;0.1;A
134;S;S;Alto;N;1.0;0.0;0.35;A
