propuesta;regular;segundo_anio;rango_promedios;examenes_1er_semestre;avance_ingreso;avance_1er_semestre;avance_carrera;estadoN;rindio_examen;inscrito_ult_ciclo
134;S;N;Alto;N;0.5;0.0;0.05;P;N;S
134;N;N;Medio;N;0.5;0.0;0.025;P;N;N
134;S;N;Alto;N;1.0;0.0;0.05;A;N;S
134;S;S;Alto;N;0.5;0.0;0.175;P;S;S
134;N;N;Bajo;N;0.0;0.6666666666666666;0.0;A;N;N
134;S;N;Alto;N;0.0;0.0;0.1;P;N;S
134;N;N;Bajo;N;0.5;0.0;0.0;P;N;N
134;S;S;Alto;N;0.0;0.0;0.125;A;S;S
134;S;S;Alto;N;1.0;0.3333333333333333;0.15;A;S;S
134;N;N;Medio;N;0.0;0.0;0.025;A;N;N
134;S;N;Medio;N;0.0;0.0;0.05;P;N;S
134;N;N;Bajo;N;0.5;0.3333333333333333;0.0;A;N;N
134;N;N;Bajo;N;0.0;0.3333333333333333;0.0;A;N;N
134;S;N;Alto;N;1.0;0.3333333333333333;0.05;A;N;S
134;S;S;Medio;N;1.0;0.3333333333333333;0.225;A;S;S
134;S;N;Medio;N;1.0;0.0;0.075;P;S;S
134;S;S;Medio;N;0.5;0.0;0.175;P;N;S
134;S;N;Alto;N;0.5;0.3333333333333333;0.075;A;S;S
134;N;N;Bajo;N;0.0;0.0;0.0;P;N;N
134;S;N;Medio;A;0.5;0.3333333333333333;0.075;A;S;S
134;S;N;Medio;N;1.0;0.0;0.1;P;S;S
134;N;N;Bajo;N;0.5;0.0;0.0;P;N;N
134;N;N;Bajo;N;0.5;0.0;0.0;P;N;N
134;S;S;Medio;N;0.5;0.6666666666666666;0.125;A;N;S
134;N;N;Medio;N;0.5;0.3333333333333333;0.025;A;N;N
134;S;S;Alto;N;0.0;0.0;0.275;P;S;S
134;N;N;Bajo;N;1.0;0.0;0.0;A;N;N
134;S;N;Medio;N;0.5;0.0;0.075;P;N;S
134;S;N;Alto;N;1.0;0.0;0.075;A;N;S
134;S;N;Alto;N;1.0;0.0;0.1;P;S;S
134;S;N;Alto;N;0.5;0.0;0.05;P;N;S
134;N;N;Bajo;N;1.0;0.0;0.0;P;N;N
134;N;N;Bajo;N;0.5;0.0;0.0;P;N;N
134;S;N;Alto;N;1.0;0.6666666666666666;0.075;A;N;S
134;S;N;Medio;N;1.0;0.0;0.075;P;N;S
134;N;N;Bajo;N;0.5;0.0;0.0;P;N;N
134;S;N;Alto;N;1.0;0.0;0.1;P;S;S
134;S;S;Alto;N;1.0;0.6666666666666666;0.125;A;N;S
134;S;S;Alto;N;1.0;0.0;0.325;P;S;S
134;S;S;Alto;N;1.0;0.0;0.3;P;S;S
134;S;S;Alto;N;1.0;0.0;0.25;P;S;S
134;N;N;Bajo;N;1.0;0.0;0.0;P;N;N
134;N;N;Bajo;N;1.0;0.0;0.0;A;N;N
134;S;N;Medio;N;0.5;0.0;0.075;P;N;S
134;N;N;Alto;N;1.0;0.0;0.025;P;N;N
134;N;N;Bajo;N;0.0;0.6666666666666666;0.0;A;N;N
134;S;N;Alto;N;1.0;0.0;0.05;P;N;S
134;S;N;Alto;N;0.0;0.0;0.1;A;N;S
134;S;N;Alto;N;1.0;0.0;0.05;P;N;S
134;N;N;Alto;N;0.5;0.0;0.025;A;N;N
134;S;N;Alto;N;1.0;0.0;0.1;P;N;S
134;S;N;Alto;N;0.5;0.0;0.05;P;N;S
134;S;N;Medio;N;0.0;0.0;0.1;P;N;S
134;S;N;Alto;N;0.5;0.0;0.075;P;N;S
134;S;S;Alto;N;0.0;0.0;0.3;P;S;S
134;N;N;Medio;N;0.0;1.0;0.025;A;N;N
134;N;N;Medio;N;0.5;0.0;0.025;P;N;N
134;S;S;Alto;N;0.5;0.0;0.175;P;S;S
134;S;N;Alto;N;1.0;0.0;0.05;P;N;S
134;S;S;Alto;N;0.5;1.0;0.425;A;S;S
134;S;N;Medio;N;1.0;0.0;0.05;P;N;S
134;S;N;Medio;N;1.0;0.0;0.05;P;N;S
134;N;N;Alto;N;1.0;0.6666666666666666;0.025;A;N;N
134;N;N;Bajo;N;1.0;0.0;0.0;P;N;N
134;S;S;Alto;N;0.5;0.6666666666666666;0.175;A;N;S
134;S;S;Medio;N;1.0;0.0;0.125;P;S;S
134;S;S;Medio;N;1.0;0.3333333333333333;0.7;A;S;S
134;N;N;Medio;N;1.0;0.6666666666666666;0.025;A;N;N
134;S;N;Medio;N;1.0;0.0;0.05;P;N;S
134;N;N;Medio;N;1.0;0.0;0.025;P;N;N
134;N;N;Bajo;N;1.0;0.0;0.0;P;N;N
134;S;N;Alto;N;1.0;0.0;0.05;P;N;S
134;S;N;Medio;N;1.0;0.0;0.05;P;N;S
134;N;N;Alto;N;0.5;0.0;0.025;P;N;N
134;S;S;Alto;N;0.5;0.0;0.4;P;S;S
134;S;S;Alto;N;1.0;0.3333333333333333;0.25;A;S;S
134;S;N;Medio;N;1.0;0.0;0.1;P;S;S
134;S;S;Alto;N;1.0;0.0;0.35;A;S;S
134;N;N;Alto;I;0.5;0.6666666666666666;0.025;A;N;N
134;N;N;Medio;N;0.5;0.3333333333333333;0.025;A;N;N
134;N;N;Bajo;N;0.5;0.3333333333333333;0.0;A;N;N
134;S;S;Alto;N;0.0;0.0;0.3;P;S;S
134;S;S;Alto;N;1.0;0.3333333333333333;0.275;A;S;S
134;S;S;Alto;N;0.5;0.3333333333333333;0.2;A;S;S
134;S;N;Medio;N;1.0;0.0;0.075;P;N;S
134;N;N;Medio;N;0.5;0.0;0.025;A;N;N
134;S;N;Medio;N;0.5;0.6666666666666666;0.1;A;S;S
134;S;S;Alto;N;0.5;0.0;0.3;P;S;S
134;S;N;Medio;N;0.5;0.0;0.1;A;S;S
134;N;N;Alto;N;0.5;0.3333333333333333;0.025;A;N;N
134;S;S;Alto;N;1.0;0.6666666666666666;0.15;A;N;S
134;S;S;Alto;N;0.5;0.3333333333333333;0.125;A;S;S
134;S;N;Medio;N;0.5;0.0;0.1;P;N;S
134;S;S;Medio;N;1.0;0.0;0.3;P;S;S
134;N;N;Bajo;N;0.5;0.3333333333333333;0.0;A;N;N
134;S;N;Medio;N;1.0;0.0;0.05;A;N;S
134;N;N;Alto;N;1.0;0.0;0.025;P;N;N
134;S;N;Medio;N;0.5;0.0;0.075;P;S;S
134;S;S;Medio;N;0.5;0.3333333333333333;0.375;A;N;S
134;S;N;Medio;N;0.5;0.0;0.075;P;S;S
134;S;S;Alto;N;1.0;0.0;0.2;P;S;S
134;S;S;Medio;N;1.0;0.0;0.3;P;S;S
134;S;N;Alto;N;0.5;0.6666666666666666;0.05;A;S;S
134;N;N;Bajo;N;0.5;0.0;0.0;P;N;N
134;N;N;Bajo;N;0.5;0.3333333333333333;0.0;A;N;N
134;S;N;Medio;N;1.0;0.0;0.075;P;S;S
134;S;S;Medio;N;0.5;0.0;0.325;P;S;S
134;S;S;Alto;N;1.0;0.0;0.25;P;S;S
134;S;N;Alto;N;0.5;0.6666666666666666;0.05;A;N;S
134;S;N;Alto;N;0.0;0.0;0.05;P;N;S
134;S;S;Alto;N;0.0;0.0;0.3;P;S;S
134;N;N;Bajo;N;0.5;0.0;0.0;P;N;N
134;S;N;Alto;N;1.0;0.0;0.075;P;N;S
134;S;S;Medio;N;0.5;0.0;0.55;A;S;S
134;S;N;Alto;N;0.0;0.0;0.075;P;N;S
134;N;N;Alto;N;0.5;0.0;0.025;P;N;N
134;S;S;Alto;N;0.0;0.0;0.175;P;S;S
134;N;N;Bajo;N;1.0;0.3333333333333333;0.0;A;N;N
134;S;N;Medio;N;0.5;0.0;0.05;P;N;S
134;N;N;Bajo;N;0.5;0.0;0.0;P;N;N
134;S;N;Medio;N;0.0;0.3333333333333333;0.05;A;N;S
134;S;N;Alto;N;1.0;0.3333333333333333;0.075;A;N;S
134;S;N;Alto;N;1.0;0.0;0.075;P;S;S
134;S;S;Medio;N;1.0;0.0;0.325;A;S;S
134;S;S;Medio;N;0.5;0.0;0.125;P;S;S
134;S;N;Alto;N;1.0;0.0;0.05;P;N;S
134;S;N;Alto;N;1.0;0.0;0.05;P;N;S
134;N;N;Bajo;N;0.5;0.3333333333333333;0.0;A;N;N
134;N;N;Bajo;N;1.0;0.0;0.0;P;N;N
134;S;N;Alto;N;1.0;0.0;0.075;P;N;S
134;S;S;Medio;N;1.0;0.0;0.175;P;S;S
134;N;N;Bajo;N;0.5;0.3333333333333333;0.0;A;N;N
134;S;S;Alto;N;1.0;0.6666666666666666;0.175;A;S;S
134;S;S;Alto;N;0.0;0.0;0.25;P;S;S
134;N;N;Alto;N;0.0;0.0;0.025;P;N;N
134;N;N;Medio;N;0.5;0.0;0.025;P;N;N
134;N;N;Bajo;N;0.5;0.3333333333333333;0.0;A;N;N
134;N;N;Bajo;N;1.0;0.0;0.0;P;N;N
134;N;N;Bajo;N;1.0;0.3333333333333333;0.0;A;N;N
134;S;S;Medio;N;0.5;0.0;0.125;P;N;S
134;S;N;Medio;N;0.5;0.3333333333333333;0.075;A;S;S
